2016-09-09 23:47:30.754 [main] INFO  io.agi.framework.persistence.PersistenceFactory - Using JDBC (SQL) for persistence.
2016-09-09 23:47:30.759 [main] INFO  io.agi.framework.coordination.CoordinationFactory - Distributed coordination.
2016-09-09 23:47:31.268 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/experiment path: terminationEntityName value: 2016-09-09-11:47:30/image-class
2016-09-09 23:47:31.292 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/experiment path: terminationConfigPath value: terminate
2016-09-09 23:47:31.314 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/experiment path: terminationAge value: -1
2016-09-09 23:47:31.334 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: receptiveField.receptiveFieldX value: 0
2016-09-09 23:47:31.356 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: receptiveField.receptiveFieldY value: 0
2016-09-09 23:47:31.377 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: receptiveField.receptiveFieldW value: 28
2016-09-09 23:47:31.398 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: receptiveField.receptiveFieldH value: 28
2016-09-09 23:47:31.420 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: resolution.resolutionX value: 28
2016-09-09 23:47:31.441 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: resolution.resolutionY value: 28
2016-09-09 23:47:31.463 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: greyscale value: true
2016-09-09 23:47:31.484 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: invert value: true
2016-09-09 23:47:31.507 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: sourceType value: images
2016-09-09 23:47:31.529 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: sourceFilesPrefix value: postproc
2016-09-09 23:47:31.551 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: sourceFilesPathTraining value: /home/dave/workspace/agi.io/data/mnist/cycle10
2016-09-09 23:47:31.572 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: sourceFilesPathTesting value: /home/dave/workspace/agi.io/data/mnist/cycle3
2016-09-09 23:47:31.592 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: trainingBatches value: 2
2016-09-09 23:47:31.613 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: learningEntitiesAlgorithm value: 2016-09-09-11:47:30/image-region-1-ff,2016-09-09-11:47:30/image-region-2-ff
2016-09-09 23:47:31.634 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-class path: learningEntitiesAnalytics value: 2016-09-09-11:47:30/class-features
2016-09-09 23:47:31.657 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-encoder path: density value: 1
2016-09-09 23:47:31.678 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-encoder path: bits value: 1
2016-09-09 23:47:31.699 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-encoder path: encodeZero value: false
2016-09-09 23:47:31.721 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeLearningRate value: 0.01
2016-09-09 23:47:31.742 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeWidthCells value: 32
2016-09-09 23:47:31.763 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeHeightCells value: 32
2016-09-09 23:47:31.784 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeBinaryOutput value: true
2016-09-09 23:47:31.804 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeSparsity value: 0
2016-09-09 23:47:31.825 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeSparsityOutput value: 2.5
2016-09-09 23:47:31.845 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeSparsityMin value: 25.0
2016-09-09 23:47:31.867 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeSparsityMax value: 921.0
2016-09-09 23:47:31.888 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeAgeMin value: 0
2016-09-09 23:47:31.909 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeAgeMax value: 1400
2016-09-09 23:47:31.929 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeAge value: 0
2016-09-09 23:47:31.950 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: contextFreeAgeScale value: 12.0
2016-09-09 23:47:31.971 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: outputSparsity value: 2.5
2016-09-09 23:47:31.991 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: defaultPredictionInhibition value: 1.0
2016-09-09 23:47:32.012 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-1-ff path: predictorLearningRate value: 0.01
2016-09-09 23:47:32.033 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeLearningRate value: 0.01
2016-09-09 23:47:32.054 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeWidthCells value: 20
2016-09-09 23:47:32.076 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeHeightCells value: 20
2016-09-09 23:47:32.098 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeBinaryOutput value: true
2016-09-09 23:47:32.119 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeSparsity value: 0
2016-09-09 23:47:32.140 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeSparsityOutput value: 2.25
2016-09-09 23:47:32.176 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeSparsityMin value: 12.0
2016-09-09 23:47:32.198 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeSparsityMax value: 360.0
2016-09-09 23:47:32.218 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeAgeMin value: 0
2016-09-09 23:47:32.239 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeAgeMax value: 1400
2016-09-09 23:47:32.260 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeAge value: 0
2016-09-09 23:47:32.281 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: contextFreeAgeScale value: 12.0
2016-09-09 23:47:32.302 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: outputSparsity value: 2.25
2016-09-09 23:47:32.323 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: defaultPredictionInhibition value: 1.0
2016-09-09 23:47:32.342 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/image-region-2-ff path: predictorLearningRate value: 0.01
2016-09-09 23:47:32.363 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/class-features path: classEntityName value: 2016-09-09-11:47:30/image-class
2016-09-09 23:47:32.384 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/class-features path: classConfigPath value: imageClass
2016-09-09 23:47:32.405 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/class-features path: classes value: 10
2016-09-09 23:47:32.439 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/class-features path: onlineLearning value: false
2016-09-09 23:47:32.463 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/class-features path: onlineLearningRate value: 0.01
2016-09-09 23:47:32.485 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-predicted path: period value: -1
2016-09-09 23:47:32.505 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-error path: period value: -1
2016-09-09 23:47:32.525 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-truth path: period value: -1
2016-09-09 23:47:32.545 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-predicted path: entityName value: 2016-09-09-11:47:30/class-features
2016-09-09 23:47:32.565 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-error path: entityName value: 2016-09-09-11:47:30/class-features
2016-09-09 23:47:32.586 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-truth path: entityName value: 2016-09-09-11:47:30/class-features
2016-09-09 23:47:32.607 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-predicted path: configPath value: classPredicted
2016-09-09 23:47:32.628 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-error path: configPath value: classError
2016-09-09 23:47:32.649 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:47:30/value-series-truth path: configPath value: classTruth
2016-09-14 02:21:07.610 [Thread-2] ERROR io.agi.framework.coordination.http.HttpExportHandler - [Ljava.lang.StackTraceElement;@1c134f00
2016-09-14 02:23:39.642 [Thread-2] ERROR io.agi.framework.coordination.http.HttpExportHandler - [Ljava.lang.StackTraceElement;@295ccf4c
2016-09-14 02:25:35.456 [Thread-2] INFO  io.agi.framework.Node - Stopping process on request.
