2016-09-09 23:14:11.713 [main] INFO  io.agi.framework.persistence.PersistenceFactory - Using JDBC (SQL) for persistence.
2016-09-09 23:14:11.717 [main] INFO  io.agi.framework.coordination.CoordinationFactory - Distributed coordination.
2016-09-09 23:14:12.480 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/experiment path: terminationAge value: 25000
2016-09-09 23:14:12.506 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: receptiveField.receptiveFieldX value: 0
2016-09-09 23:14:12.528 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: receptiveField.receptiveFieldY value: 0
2016-09-09 23:14:12.552 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: receptiveField.receptiveFieldW value: 28
2016-09-09 23:14:12.574 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: receptiveField.receptiveFieldH value: 28
2016-09-09 23:14:12.597 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: resolution.resolutionX value: 28
2016-09-09 23:14:12.619 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: resolution.resolutionY value: 28
2016-09-09 23:14:12.641 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: greyscale value: true
2016-09-09 23:14:12.664 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: invert value: true
2016-09-09 23:14:12.685 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: sourceType value: images
2016-09-09 23:14:12.705 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: sourceFilesPrefix value: postproc
2016-09-09 23:14:12.727 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: sourceFilesPathTraining value: /home/dave/workspace/agi.io/data/mnist/10k_train
2016-09-09 23:14:12.749 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: sourceFilesPathTesting value: /home/dave/workspace/agi.io/data/mnist/5k_test
2016-09-09 23:14:12.771 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-class path: trainingBatches value: 1
2016-09-09 23:14:12.795 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-encoder path: density value: 1
2016-09-09 23:14:12.821 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-encoder path: bits value: 1
2016-09-09 23:14:12.842 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-encoder path: encodeZero value: false
2016-09-09 23:14:12.863 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/activity-image-decoder path: density value: 1
2016-09-09 23:14:12.885 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/activity-image-decoder path: bits value: 1
2016-09-09 23:14:12.906 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/activity-image-decoder path: encodeZero value: false
2016-09-09 23:14:12.928 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/predicted-image-decoder path: density value: 1
2016-09-09 23:14:12.948 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/predicted-image-decoder path: bits value: 1
2016-09-09 23:14:12.970 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/predicted-image-decoder path: encodeZero value: false
2016-09-09 23:14:12.991 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/class-features path: classEntityName value: 2016-09-09-11:14:11/image-class
2016-09-09 23:14:13.012 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/class-features path: classConfigPath value: imageClass
2016-09-09 23:14:13.032 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/class-features path: classes value: 10
2016-09-09 23:14:13.054 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/class-features path: onlineLearning value: true
2016-09-09 23:14:13.075 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/class-features path: onlineLearningRate value: 0.001
2016-09-09 23:14:13.097 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-predicted path: period value: -1
2016-09-09 23:14:13.118 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-error path: period value: -1
2016-09-09 23:14:13.140 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-truth path: period value: -1
2016-09-09 23:14:13.162 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-predicted path: entityName value: 2016-09-09-11:14:11/class-features
2016-09-09 23:14:13.183 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-error path: entityName value: 2016-09-09-11:14:11/class-features
2016-09-09 23:14:13.204 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-truth path: entityName value: 2016-09-09-11:14:11/class-features
2016-09-09 23:14:13.226 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-predicted path: configPath value: classPredicted
2016-09-09 23:14:13.247 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-error path: configPath value: classError
2016-09-09 23:14:13.287 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/value-series-truth path: configPath value: classTruth
2016-09-09 23:14:13.310 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: emitUnchangedCells value: false
2016-09-09 23:14:13.348 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: predictorLearningRate value: 0.005
2016-09-09 23:14:13.370 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: receptiveFieldsTrainingSamples value: 0.1
2016-09-09 23:14:13.393 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: defaultPredictionInhibition value: 1.0
2016-09-09 23:14:13.416 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifiersPerBit1 value: 4
2016-09-09 23:14:13.443 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifiersPerBit2 value: 1
2016-09-09 23:14:13.466 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerWidthCells value: 8
2016-09-09 23:14:13.487 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerHeightCells value: 8
2016-09-09 23:14:13.509 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerIntervalsInput1X value: 8
2016-09-09 23:14:13.530 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerIntervalsInput2X value: 1
2016-09-09 23:14:13.553 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerIntervalsInput1Y value: 8
2016-09-09 23:14:13.574 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: organizerIntervalsInput2Y value: 1
2016-09-09 23:14:13.595 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierWidthCells value: 5
2016-09-09 23:14:13.616 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierHeightCells value: 4
2016-09-09 23:14:13.638 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierDepthCells value: 1
2016-09-09 23:14:13.659 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierStressThreshold value: 0.0
2016-09-09 23:14:13.679 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierLearningRate value: 0.03
2016-09-09 23:14:13.701 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierLearningRateNeighbours value: 0.001
2016-09-09 23:14:13.721 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierStressLearningRate value: 0.001
2016-09-09 23:14:13.742 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierStressSplitLearningRate value: 0.5
2016-09-09 23:14:13.768 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierGrowthInterval value: 120
2016-09-09 23:14:13.796 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-1-ff path: classifierEdgeMaxAge value: 400
2016-09-09 23:14:13.819 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: emitUnchangedCells value: false
2016-09-09 23:14:13.840 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: predictorLearningRate value: 0.005
2016-09-09 23:14:13.861 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: receptiveFieldsTrainingSamples value: 0.1
2016-09-09 23:14:13.882 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: defaultPredictionInhibition value: 1.0
2016-09-09 23:14:13.903 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifiersPerBit1 value: 3
2016-09-09 23:14:13.925 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifiersPerBit2 value: 1
2016-09-09 23:14:13.952 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerWidthCells value: 7
2016-09-09 23:14:13.971 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerHeightCells value: 7
2016-09-09 23:14:13.991 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerIntervalsInput1X value: 7
2016-09-09 23:14:14.012 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerIntervalsInput2X value: 1
2016-09-09 23:14:14.033 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerIntervalsInput1Y value: 7
2016-09-09 23:14:14.054 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: organizerIntervalsInput2Y value: 1
2016-09-09 23:14:14.074 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierWidthCells value: 6
2016-09-09 23:14:14.096 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierHeightCells value: 6
2016-09-09 23:14:14.116 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierDepthCells value: 1
2016-09-09 23:14:14.137 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierStressThreshold value: 0.0
2016-09-09 23:14:14.158 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierLearningRate value: 0.03
2016-09-09 23:14:14.178 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierLearningRateNeighbours value: 0.001
